Room,X,Y,W,H
Atrium,336,401,144,213
Bazaar,769,480,227,106
Coffee House,1561,511,117,76
Den,125,120,116,81
Forum,618,278,303,115
Galleria,337,97,120,77
Garden,1455,2,137,114
Market,1121,157,146,102
Plaza,1014,458,106,129
Square,1741,113,148,116
Terrace,1,121,117,81
Town Hall,1318,2,136,113
,,,,
Image,0,0,1889,614
